"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"PIM Approvals And Deny Elevation","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when a PIM elevation is approved or denied. Outside of normal operations should be investigated.","attack.privilege_escalation, attack.t1078.004","Not classified","azure","auditlogs","Review the user associated with the PIM elevation request. 
Check if the elevation was part of a scheduled or automated process. 
Verify if the PIM operation was initiated during a planned testing activity. 
Correlate with other security events to determine the context of the elevation.","Actual admin using PIM may trigger this rule. 
Scheduled or automated PIM elevation approvals. 
Testing scenarios involving PIM operations.","properties.message=""Request Approved/Denied"""
"PIM Alert Setting Changes To Disabled","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when PIM alerts are set to disabled.","attack.persistence, attack.privilege_escalation, attack.t1078","Not classified","azure","auditlogs","Review the user account associated with the action to determine if it was performed by an authorized administrator. 
Check for any scheduled maintenance activities or change management records that coincide with the alert. 
Correlate the event with any ongoing security assessments or penetration tests to validate the change. 
Investigate if there are any documented procedures or approvals for disabling PIM alerts in the environment.","Administrator performing a legitimate change to disable PIM alerts. 
Scheduled maintenance tasks that require temporary disabling of PIM alerts. 
Changes made by authorized security personnel during security assessments.","properties.message=""Disable PIM Alert"""
"Changes To PIM Settings","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when changes are made to PIM roles","attack.privilege_escalation, attack.persistence, attack.t1078.004","Not classified","azure","auditlogs","Check the user account associated with the PIM role change for any suspicious activity or unauthorized access 
Review the timestamp of the PIM role change to correlate with other security events or incidents 
Verify if the PIM role change was part of a planned change management process 
Cross-reference the PIM role change with ticketing or change management systems for approval records","Scheduled or automated PIM role changes 
Changes made by authorized personnel during maintenance windows 
Changes made by security operations teams during investigations","properties.message=""Update role setting in PIM"""
"User Added To Privilege Role","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when a user is added to a privileged role.","attack.privilege_escalation, attack.defense_evasion, attack.t1078.004","Not classified","azure","auditlogs","Check if the user added to the privileged role matches any scheduled scripts or automation tools 
Review the activity of the administrator who performed the role assignment 
Verify if the user role change aligns with any recent organizational changes or projects","Scheduled scripts or automation tools adding users to roles 
Bulk user role assignments by administrators 
User role changes due to organizational restructuring","properties.message IN (""Add eligible member (permanent)"", ""Add eligible member (eligible)"")"
"Bulk Deletion Changes To Privileged Account Permissions","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when a user is removed from a privileged role. Bulk changes should be investigated.","attack.persistence, attack.t1098","Not classified","azure","auditlogs","Check if the user removal from the privileged role was part of a scheduled task or automation 
Verify if the user voluntarily left the role or if it was an authorized action 
Review logs from security tools or scripts that manage role assignments for any related activities 
Correlate the event with other security logs to determine the context of the user removal","Scheduled or automated processes that regularly remove users from roles 
User voluntarily leaving the privileged role 
Changes made by a security tool or script","properties.message IN (""Remove eligible member (permanent)"", ""Remove eligible member (eligible)"")"
"Azure Subscription Permission Elevation Via AuditLogs","Austin Songer @austinsonger","Detects when a user has been elevated to manage all Azure Subscriptions.
This change should be investigated immediately if it isn't planned.
This setting could allow an attacker access to Azure subscriptions in your environment.
","attack.initial_access, attack.t1078","Not classified","azure","auditlogs","Review the approval process for permission elevation within the organization. 
Check if the elevation was part of a planned change request. 
Verify if the user's role change aligns with any ongoing projects or incidents. 
Investigate if the elevation was performed by authorized personnel.","Scheduled elevation of permissions for maintenance tasks. 
Temporary elevation for specific project requirements. 
Elevation performed by a security team member during an incident response. 
Elevation as part of a documented change management process.","Category=""Administrative"" OperationName=""Assigns the caller to user access admin"""
"Temporary Access Pass Added To An Account","Mark Morowczynski '@markmorow', Yochana Henderson, '@Yochana-H'","Detects when a temporary access pass (TAP) is added to an account. TAPs added to priv accounts should be investigated","attack.persistence, attack.t1078.004","Not classified","azure","auditlogs","Review the details of the temporary access pass added to determine if it was expected or unauthorized 
Check if the temporary access pass addition aligns with any ongoing privileged account management activities 
Correlate the temporary access pass addition with other security events or alerts to identify any suspicious patterns 
Interview the administrator who added the temporary access pass to gather more context and justification","Scheduled scripts or automated processes adding temporary access passes 
Temporary access passes added during authorized maintenance activities 
Temporary access passes added by security tools or privileged access management solutions","properties.message=""Admin registered security info"" Status=""Admin registered temporary access pass method for user"""
"Discovery Using AzureHound","Janantha Marasinghe","Detects AzureHound (A BloodHound data collector for Microsoft Azure) activity via the default User-Agent that is used during its operation after successful authentication.","attack.discovery, attack.t1087.004, attack.t1526","Not classified","azure","signinlogs","Review Azure sign-in logs for entries with User-Agent containing 'azurehound' 
Check for successful authentications followed by AzureHound User-Agent activity 
Correlate AzureHound activity with other logs to determine the scope of the discovery 
Verify the source and destination of the AzureHound activity for any anomalies","Legitimate use of AzureHound by authorized personnel 
Custom User-Agent containing 'azurehound' string 
Third-party tools or scripts mimicking AzureHound behavior","userAgent=""*azurehound*"" ResultType=0"
"Suspicious SignIns From A Non Registered Device","Harjot Singh, '@cyb3rjy0t'","Detects risky authencaition from a non AD registered device without MFA being required.","attack.defense_evasion, attack.t1078","Not classified","azure","signinlogs","Check the Azure AD audit logs for additional information on the device in question. 
Verify if the user has been granted exceptions to use non-AD registered devices. 
Review network logs to identify any connectivity issues that may have impacted device registration. 
Conduct interviews with the user to confirm the legitimacy of the sign-in attempt.","Legitimate use of non-AD registered devices by authorized users. 
Temporary network issues causing device registration to fail. 
Misconfiguration in the Azure AD environment leading to false positives.","Status=""Success"" AuthenticationRequirement=""singleFactorAuthentication"" DeviceDetail.trusttype="""" RiskState=""atRisk"""
"Sign-ins from Non-Compliant Devices","Michael Epping, '@mepples21'","Monitor and alert for sign-ins where the device was non-compliant.","attack.defense_evasion, attack.t1078.004","Not classified","azure","signinlogs","Review the device compliance evaluation logs for the specific device 
Check for any recent changes in compliance policies or criteria 
Verify if the device was actually non-compliant by cross-referencing with other sources 
Investigate if there are any known issues with the compliance evaluation system","Temporary compliance issues causing false non-compliant status 
Misconfiguration in compliance evaluation settings 
Non-standard compliance criteria leading to false positives","DeviceDetail.isCompliant=""false"""
"Potential MFA Bypass Using Legacy Client Authentication","Harjot Singh, '@cyb3rjy0t'","Detects successful authentication from potential clients using legacy authentication via user agent strings. This could be a sign of MFA bypass using a password spray attack.","attack.initial_access, attack.credential_access, attack.t1078.004, attack.t1110","Not classified","azure","signinlogs","Review the user agent strings of the authentication events to identify the specific legacy clients 
Check if the authentication events are associated with known legacy accounts 
Investigate if there are legitimate reasons for the use of legacy authentication in the environment 
Correlate the authentication events with other security logs to determine the scope of potential MFA bypass","Service accounts using legacy authentication 
Specific applications requiring legacy authentication 
Third-party integrations with legacy support","Status=""Success"" userAgent IN (""*BAV2ROPC*"", ""*CBAinPROD*"", ""*CBAinTAR*"")"
"Sign-in Failure Due to Conditional Access Requirements Not Met","Yochana Henderson, '@Yochana-H'","Define a baseline threshold for failed sign-ins due to Conditional Access failures","attack.initial_access, attack.credential_access, attack.t1110, attack.t1078.004","Not classified","azure","signinlogs","Check the Conditional Access policies in Azure Active Directory for any recent changes or misconfigurations that could lead to false positives 
Review the sign-in logs for successful sign-ins to rule out intermittent issues with the Conditional Access policies 
Investigate if there are any ongoing vulnerability scans or misconfigurations on the systems that could trigger false positives","Service Account misconfigured 
Misconfigured Systems 
Vulnerability Scanners","ResultType=53003 Resultdescription=""Blocked by Conditional Access"""
"Use of Legacy Authentication Protocols","Yochana Henderson, '@Yochana-H'","Alert on when legacy authentication has been used on an account","attack.initial_access, attack.credential_access, attack.t1078.004, attack.t1110","Not classified","azure","signinlogs","Check if the user's account has been added to a group that allows legacy authentication 
Review the user's access rights and business justification for using legacy authentication 
Verify if there are any ongoing network or system issues that could lead to legacy authentication usage 
Investigate if the user is accessing a specific application or service that requires legacy authentication","User has a legitimate need to use legacy authentication due to specific business requirements 
User is accessing a legacy system that does not support modern authentication methods 
Temporary network issues causing fallback to legacy authentication mechanisms","ActivityDetails=""Sign-ins"" ClientApp IN (""Other client"", ""IMAP"", ""POP3"", ""MAPI"", ""SMTP"", ""Exchange ActiveSync"", ""Exchange Web Services"") Username=""UPN"""
"Auditing Configuration Changes on Linux Host","Mikhail Larin, oscd.community","Detect changes in auditd configuration files","attack.defense_evasion, attack.t1562.006","Not classified","linux","auditd","Review the logs for the specific file paths mentioned in the detection selection 
Correlate the changes with authorized change management records 
Check for any scheduled tasks or scripts that may have triggered the changes 
Verify if the changes were part of a planned security assessment or audit activity","Scheduled configuration management tools making changes 
Updates or patches applied to the auditd software 
Changes made by authorized personnel during security assessments","type=""PATH"" name IN (""/etc/audit/*"", ""/etc/libaudit.conf"", ""/etc/audisp/*"")"
"Binary Padding - Linux","Igor Fits, oscd.community","Adversaries may use binary padding to add junk data and change the on-disk representation of malware.
This rule detect using dd and truncate to add a junk data to file.
","attack.defense_evasion, attack.t1027.001","Not classified","linux","auditd","Review the command-line arguments of the processes that triggered the rule to determine the intent behind the binary padding 
Check for any legitimate reasons for using dd or truncate commands in the system logs or configuration management databases 
Correlate the events with system changes or software installations to rule out false positives 
Investigate the file in question to understand its purpose and whether the binary padding was malicious or benign","Legitimate use of dd or truncate commands for system maintenance or file operations 
Software installations that involve padding files 
Custom scripts or applications that utilize binary padding techniques 
Compression utilities that add padding to files","type=""EXECVE"" (""truncate"" ""-s"") OR (""dd"" ""if="" NOT ""of="")"
"BPFDoor Abnormal Process ID or Lock File Accessed","Rafal Piasecki","detects BPFDoor .lock and .pid files access in temporary file storage facility","attack.execution, attack.t1106, attack.t1059","Not classified","linux","auditd","Review the process accessing the .pid or .lock files for legitimacy 
Check if the file access is part of a known system operation or software behavior 
Correlate the file access with other security events to determine the context of the activity 
Investigate the parent-child process relationship to identify the origin of the file access","Legitimate software or scripts accessing similar files for normal operations 
Temporary files created by system processes 
File access related to authorized system monitoring tools","type=""PATH"" name IN (""/var/run/haldrund.pid"", ""/var/run/xinetd.lock"", ""/var/run/kdevrund.pid"")"
"Possible Coin Miner CPU Priority Param","Florian Roth (Nextron Systems)","Detects command line parameter very often used with coin miners","attack.privilege_escalation, attack.t1068","Not classified","linux","auditd","Review the process associated with the command line containing --cpu-priority 
Check the reputation of the process or application using the flag 
Correlate with other suspicious activities or indicators of compromise on the system 
Investigate the parent-child process relationship to understand the context of the flagged command","Legitimate applications that require CPU priority settings 
Development tools that utilize CPU priority flags 
Custom scripts or automation tasks with benign use of --cpu-priority 
System monitoring agents or tools that use --cpu-priority for legitimate purposes","a1=""--cpu-priority*"" OR a2=""--cpu-priority*"" OR a3=""--cpu-priority*"" OR a4=""--cpu-priority*"" OR a5=""--cpu-priority*"" OR a6=""--cpu-priority*"" OR a7=""--cpu-priority*"""
"Disable System Firewall","Pawel Mazur","Detects disabling of system firewalls which could be used by adversaries to bypass controls that limit usage of the network.","attack.t1562.004, attack.defense_evasion","Not classified","linux","auditd","Review audit logs for the specific service stop events 
Correlate with change management records to identify authorized changes 
Check for any related alerts or notifications from system monitoring tools 
Interview system administrators to understand the context of the firewall service stop","Scheduled maintenance tasks may stop the firewall service temporarily 
Firewall service restarts due to updates or configuration changes 
Legitimate administrative actions to troubleshoot firewall issues","type=""SERVICE_STOP"" unit IN (""firewalld"", ""iptables"", ""ufw"")"
"Credentials In Files - Linux","Igor Fits, oscd.community","Detecting attempts to extract passwords with grep","attack.credential_access, attack.t1552.001","Not classified","linux","auditd","Review the command-line arguments and context of the 'grep' command to determine if it was used maliciously 
Check if the 'grep' command was executed by a known script or tool in your environment 
Correlate the 'grep' command with other security events or logs to identify any suspicious patterns or activities 
Inspect the file or directory being searched by 'grep' for any unauthorized access or modifications","Legitimate use of grep to search for non-sensitive information containing the keyword 'password' 
Scripting or automation tools that use 'grep' and 'password' in a benign context 
Administrative tasks that involve searching for specific configurations or files containing the term 'password'","type=""EXECVE"" ""grep"" ""password"""
"Linux Keylogging with Pam.d","Pawel Mazur","Detect attempt to enable auditing of TTY input","attack.credential_access, attack.t1003, attack.t1056.001","Not classified","linux","auditd","Review the audit logs for changes to the specified PAM configuration files (/etc/pam.d/system-auth, /etc/pam.d/password-auth) 
Check for any TTY or USER_TTY events that indicate auditing of TTY input 
Correlate the events with any authorized administrative activities or system updates 
Verify if the changes were made as part of a security policy or monitoring requirement","Legitimate administrative changes to PAM configuration files 
System updates or software installations that modify PAM configurations 
User-initiated changes to enable auditing for legitimate monitoring purposes","(type=""PATH"" name IN (""/etc/pam.d/system-auth"", ""/etc/pam.d/password-auth"")) OR type IN (""TTY"", ""USER_TTY"")"
"Modification of ld.so.preload","E.M. Anhaus (originally from Atomic Blue Detections, Tony Lambert), oscd.community","Identifies modification of ld.so.preload for shared object injection. This technique is used by attackers to load arbitrary code into processes.","attack.defense_evasion, attack.t1574.006","Not classified","linux","auditd","Review the process that modified ld.so.preload to determine if it was a known and legitimate process. 
Check for any related logs or events that provide context around the modification of ld.so.preload. 
Compare the contents of ld.so.preload before and after the modification to identify any suspicious changes. 
Investigate the user account associated with the modification of ld.so.preload for any signs of unauthorized access.","Legitimate software installations or updates may modify ld.so.preload. 
System administrators may modify ld.so.preload for legitimate reasons. 
Certain security tools or scripts may also modify ld.so.preload. 
Upgrades or patches to the operating system may result in changes to ld.so.preload.","type=""PATH"" name=""/etc/ld.so.preload"""
"Loading of Kernel Module via Insmod","Pawel Mazur","Detects loading of kernel modules with insmod command.
Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand.
Adversaries may use LKMs to obtain persistence within the system or elevate the privileges.
","attack.persistence, attack.privilege_escalation, attack.t1547.006","Not classified","linux","auditd","Review the command-line arguments passed to insmod to identify the kernel module being loaded. 
Check if the loading of the kernel module aligns with any scheduled system updates or installations. 
Correlate the insmod activity with other security events or logs to determine if it is part of a larger attack. 
Verify the digital signature or checksum of the kernel module to determine its legitimacy.","Legitimate use of insmod to load kernel modules during system updates or software installations. 
Legitimate use of insmod by system administrators for authorized purposes. 
Legitimate use of insmod by security tools or monitoring agents. 
False positive due to misconfiguration or benign activity.","type=""SYSCALL"" comm=""insmod"" exe=""/usr/bin/kmod"""
"Logging Configuration Changes on Linux Host","Mikhail Larin, oscd.community","Detect changes of syslog daemons configuration files","attack.defense_evasion, attack.t1562.006","Not classified","linux","auditd","Review audit logs for the specific paths mentioned in the rule 
Check for any correlation with authorized change management tickets or requests 
Verify if the changes were part of a scheduled maintenance window 
Cross-reference with system administrator activity logs","Scheduled system updates that involve configuration changes 
Automated configuration management tools making changes 
Changes made by authorized system administrators","type=""PATH"" name IN (""/etc/syslog.conf"", ""/etc/rsyslog.conf"", ""/etc/syslog-ng/syslog-ng.conf"")"
"OMIGOD SCX RunAsProvider ExecuteShellCommand - Auditd","Roberto Rodriguez (Cyb3rWard0g), OTR (Open Threat Research)","Rule to detect the use of the SCX RunAsProvider Invoke_ExecuteShellCommand to execute any UNIX/Linux command using the /bin/sh shell.
SCXcore, started as the Microsoft Operations Manager UNIX/Linux Agent, is now used in a host of products including Microsoft Operations Manager.
Microsoft Azure, and Microsoft Operations Management Suite.
","attack.privilege_escalation, attack.initial_access, attack.execution, attack.t1068, attack.t1190, attack.t1203","Not classified","linux","auditd","Review the command executed to determine if it aligns with legitimate use cases. 
Check for any scheduled tasks or scripts that may be triggering the detection. 
Correlate with system or application logs to understand the context of the command execution. 
Verify if the user or process executing the command is authorized to use SCX RunAsProvider Invoke_ExecuteShellCommand.","Scheduled legitimate tasks that involve the use of SCX RunAsProvider Invoke_ExecuteShellCommand. 
Administrative scripts or automation that leverage SCX RunAsProvider Invoke_ExecuteShellCommand. 
Known security tools or configurations that trigger the SCX RunAsProvider Invoke_ExecuteShellCommand for authorized purposes.","type=""SYSCALL"" syscall=""execve"" uid=0 cwd=""/var/opt/microsoft/scx/tmp"" comm=""sh"""
"Webshell Remote Command Execution","Ilyas Ochkov, Beyu Denis, oscd.community","Detects possible command execution by web application/web shell","attack.persistence, attack.t1505.003","Not classified","linux","auditd","Review the process command line arguments to determine the nature of the executed command 
Check for any legitimate reasons for web shell presence or activity 
Correlate with other security events to identify any signs of compromise 
Investigate the user context and permissions associated with the command execution","Admin activity may trigger the rule 
Legitimate use of web shells for authorized purposes 
Scheduled tasks or scripts running on the system 
Development or testing activities","type=""SYSCALL"" syscall=""execve"" key=""detect_execve_www"""
"DNS Query to External Service Interaction Domains","Florian Roth (Nextron Systems), Matt Kelly (list of domains)","Detects suspicious DNS queries to external service interaction domains often used for out-of-band interactions after successful RCE","attack.initial_access, attack.t1190, attack.reconnaissance, attack.t1595.002","dns","Not classified","Not classified","Review the context of the DNS query to understand the source and destination of the traffic 
Check if the DNS query is part of a known legitimate communication pattern within the environment 
Correlate the DNS query with other security events to determine if it is part of a larger attack campaign 
Investigate the reputation of the domains in the DNS query to assess their risk level","Legitimate use of services that happen to match the listed domains 
DNS queries from security tools or monitoring systems 
DNS queries to known benign services that may have similar domain patterns","query IN (""*.interact.sh*"", ""*.oast.pro*"", ""*.oast.live*"", ""*.oast.site*"", ""*.oast.online*"", ""*.oast.fun*"", ""*.oast.me*"", ""*.burpcollaborator.net*"", ""*.oastify.com*"", ""*.canarytokens.com*"", ""*.requestbin.net*"", ""*.dnslog.cn*"")"
"Cobalt Strike DNS Beaconing","Florian Roth (Nextron Systems)","Detects suspicious DNS queries known from Cobalt Strike beacons","attack.command_and_control, attack.t1071.004","dns","Not classified","Not classified","Review the context of the DNS query to determine if it is part of normal network traffic 
Check if the DNS query is triggered by a legitimate application or security tool 
Investigate the source of the DNS query to confirm if it is a false positive 
Correlate the DNS query with other security events to validate the potential threat","Legitimate use of subdomains that match the detection criteria 
DNS queries from legitimate security tools that mimic Cobalt Strike behavior 
DNS queries from development or testing environments that resemble Cobalt Strike patterns 
DNS queries from known benign applications that trigger the rule","query IN (""aaa.stage.*"", ""post.1*"") OR query=""*.stage.123456.*"""
"Monero Crypto Coin Mining Pool Lookup","Florian Roth (Nextron Systems)","Detects suspicious DNS queries to Monero mining pools","attack.impact, attack.t1496, attack.t1567","dns","Not classified","Not classified","Verify the legitimacy of the DNS queries by cross-referencing with authorized mining activities 
Check if the DNS queries are coming from known cryptocurrency mining software or tools 
Investigate the source IP address for any other suspicious activities or indicators of compromise 
Look for additional context in network traffic logs or endpoint logs to determine the intent behind the DNS queries","Legitimate crypto coin mining activities 
Legitimate use of Monero mining pools by authorized users 
DNS queries related to cryptocurrency trading platforms 
DNS queries related to blockchain technology research","query IN (""*pool.minexmr.com*"", ""*fr.minexmr.com*"", ""*de.minexmr.com*"", ""*sg.minexmr.com*"", ""*ca.minexmr.com*"", ""*us-west.minexmr.com*"", ""*pool.supportxmr.com*"", ""*mine.c3pool.com*"", ""*xmr-eu1.nanopool.org*"", ""*xmr-eu2.nanopool.org*"", ""*xmr-us-east1.nanopool.org*"", ""*xmr-us-west1.nanopool.org*"", ""*xmr-asia1.nanopool.org*"", ""*xmr-jp1.nanopool.org*"", ""*xmr-au1.nanopool.org*"", ""*xmr.2miners.com*"", ""*xmr.hashcity.org*"", ""*xmr.f2pool.com*"", ""*xmrpool.eu*"", ""*pool.hashvault.pro*"")"
"DNS TXT Answer with Possible Execution Strings","Markus Neis","Detects strings used in command execution in DNS TXT Answer","attack.command_and_control, attack.t1071.004","dns","Not classified","Not classified","Review the DNS logs for TXT records containing the specified strings 
Check if the DNS requests are coming from expected sources or if there are anomalies in the traffic 
Correlate with other security events to determine if there are any related suspicious activities 
Investigate the context in which the strings are used to determine if they are part of a legitimate operation","Legitimate use of these strings in DNS TXT records for benign purposes 
Use of these strings in a non-malicious context 
Misconfigurations or benign scripts that contain these strings 
Legitimate use of PowerShell commands in DNS TXT records","record_type=""TXT"" answer IN (""*IEX*"", ""*Invoke-Expression*"", ""*cmd.exe*"")"
"Wannacry Killswitch Domain","Mike Wade","Detects wannacry killswitch domain dns queries","attack.command_and_control, attack.t1071.001","dns","Not classified","Not classified","Review the context of the DNS query to determine if it is part of a legitimate testing activity 
Check if the DNS query is related to known security tools or research within the organization 
Correlate the DNS query with other network or endpoint logs to identify the source and intent 
Verify if the DNS query is triggered by security scanning or monitoring activities","Legitimate use of similar domain names for testing purposes 
DNS queries related to legitimate research or security tools 
Internal systems using similar naming conventions 
DNS queries from security scanners or monitoring tools","query IN (""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.testing"", ""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.test"", ""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com"", ""ayylmaotjhsstasdfasdfasdfasdfasdfasdfasdf.com"", ""iuqssfsodp9ifjaposdfjhgosurijfaewrwergwea.com"")"
"Windows WebDAV User Agent","Florian Roth (Nextron Systems)","Detects WebDav DownloadCradle","attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Check if the user agent is associated with known administrative scripts 
Verify if the WebDAV activity is part of legitimate WebDAV administration 
Review the context of the WebDAV request to determine its purpose","Administrative scripts that download files from the Internet 
Administrative scripts that retrieve certain website contents 
Legitimate WebDAV administration","""c-useragent""=""Microsoft-WebDAV-MiniRedir/*"" ""cs-method""=""GET"""
