"Title","Author","Description","Tags","Category","Product","Service","How To Investigate","Known False Positives","Query"
"OMIGOD SCX RunAsProvider ExecuteShellCommand - Auditd","Roberto Rodriguez (Cyb3rWard0g), OTR (Open Threat Research)","Rule to detect the use of the SCX RunAsProvider Invoke_ExecuteShellCommand to execute any UNIX/Linux command using the /bin/sh shell.
SCXcore, started as the Microsoft Operations Manager UNIX/Linux Agent, is now used in a host of products including Microsoft Operations Manager.
Microsoft Azure, and Microsoft Operations Management Suite.
","attack.privilege_escalation, attack.initial_access, attack.execution, attack.t1068, attack.t1190, attack.t1203","Not classified","linux","auditd","Check the command executed by the SCX RunAsProvider Invoke_ExecuteShellCommand. 
Review the user or process invoking the SCX RunAsProvider Invoke_ExecuteShellCommand. 
Analyze the context in which the command is executed, including the current working directory (cwd) and the shell used (comm). 
Correlate with other security events or logs to identify any suspicious or malicious activities. 
Verify if the use of SCX RunAsProvider Invoke_ExecuteShellCommand is authorized and expected in the environment. 
Consult system administrators or relevant personnel to determine if the detected activity is legitimate or requires further investigation.","Legitimate use of SCX RunAsProvider Invoke_ExecuteShellCommand in a specific context or by authorized users. 
Legitimate use of /bin/sh shell for system administration tasks.","type=""SYSCALL"" syscall=""execve"" uid=0 cwd=""/var/opt/microsoft/scx/tmp"" comm=""sh"""
"Webshell Remote Command Execution","Ilyas Ochkov, Beyu Denis, oscd.community","Detects possible command execution by web application/web shell","attack.persistence, attack.t1505.003","Not classified","linux","auditd","Review web server logs for suspicious activity, such as unexpected command execution or unusual file uploads. 
Analyze the command executed and check if it is legitimate or potentially malicious. 
Inspect the web application for any signs of compromise, such as modified files or unexpected behavior. 
Check for any unauthorized access or privilege escalation attempts in the system logs. 
Monitor network traffic for any suspicious connections or data transfers related to the web application.","Admin activity 
Crazy web applications","type=""SYSCALL"" syscall=""execve"" key=""detect_execve_www"""
"DNS Query to External Service Interaction Domains","Florian Roth (Nextron Systems), Matt Kelly (list of domains)","Detects suspicious DNS queries to external service interaction domains often used for out-of-band interactions after successful RCE","attack.initial_access, attack.t1190, attack.reconnaissance, attack.t1595.002","dns","Not classified","Not classified","Review DNS query logs from DNS servers or DNS logs from network devices, such as firewalls or DNS proxies, for any queries containing the listed domains. 
Cross-reference the DNS queries with other security events or indicators of compromise (IOCs) to identify any correlation or patterns. 
Investigate the source IP address and associated user or system to determine if the DNS queries are part of normal or expected behavior. 
Check if the DNS queries are triggered by any known security tools or services used within the organization. 
If possible, analyze the network traffic associated with the DNS queries to identify any additional suspicious or malicious activity.","Legitimate use of external DNS services for specific purposes, such as threat intelligence feeds or security monitoring tools.","query IN (""*.interact.sh*"", ""*.oast.pro*"", ""*.oast.live*"", ""*.oast.site*"", ""*.oast.online*"", ""*.oast.fun*"", ""*.oast.me*"", ""*.burpcollaborator.net*"", ""*.oastify.com*"", ""*.canarytokens.com*"", ""*.requestbin.net*"", ""*.dnslog.cn*"")"
"Cobalt Strike DNS Beaconing","Florian Roth (Nextron Systems)","Detects suspicious DNS queries known from Cobalt Strike beacons","attack.command_and_control, attack.t1071.004","dns","Not classified","Not classified","Investigate the source and destination IP addresses associated with the suspicious DNS queries. 
Check if the DNS queries are part of a legitimate staging or post-processing activity in your environment. 
Review the context of the DNS queries, such as the timing, frequency, and patterns of the queries. 
Correlate the DNS queries with other security events or indicators of compromise (IOCs) to determine if there is a larger attack campaign. 
Consult threat intelligence sources to identify any known Cobalt Strike beaconing patterns or indicators. 
Consider performing network traffic analysis or packet capture to further analyze the DNS traffic and identify any malicious behavior.","Legitimate use of DNS queries for staging or post-processing purposes in certain environments.","query IN (""aaa.stage.*"", ""post.1*"") OR query=""*.stage.123456.*"""
"Monero Crypto Coin Mining Pool Lookup","Florian Roth (Nextron Systems)","Detects suspicious DNS queries to Monero mining pools","attack.impact, attack.t1496, attack.t1567","dns","Not classified","Not classified","Check the source IP address of the DNS query and compare it against known legitimate mining activities. 
Analyze the destination IP address of the DNS query and check if it belongs to a known Monero mining pool. 
Look for other related indicators of compromise (IOCs) such as suspicious network traffic or communication with known mining pool IPs. 
Review any additional logs related to the DNS query, such as firewall logs or proxy logs, to gather more context. 
Cross-reference the timestamp of the DNS query with other events or logs to identify any suspicious patterns or anomalies.","Legitimate crypto coin mining activities","query IN (""*pool.minexmr.com*"", ""*fr.minexmr.com*"", ""*de.minexmr.com*"", ""*sg.minexmr.com*"", ""*ca.minexmr.com*"", ""*us-west.minexmr.com*"", ""*pool.supportxmr.com*"", ""*mine.c3pool.com*"", ""*xmr-eu1.nanopool.org*"", ""*xmr-eu2.nanopool.org*"", ""*xmr-us-east1.nanopool.org*"", ""*xmr-us-west1.nanopool.org*"", ""*xmr-asia1.nanopool.org*"", ""*xmr-jp1.nanopool.org*"", ""*xmr-au1.nanopool.org*"", ""*xmr.2miners.com*"", ""*xmr.hashcity.org*"", ""*xmr.f2pool.com*"", ""*xmrpool.eu*"", ""*pool.hashvault.pro*"")"
"DNS TXT Answer with Possible Execution Strings","Markus Neis","Detects strings used in command execution in DNS TXT Answer","attack.command_and_control, attack.t1071.004","dns","Not classified","Not classified","Review DNS logs for TXT records containing the specified strings. 
Check for any legitimate use of DNS TXT records for non-malicious purposes, such as domain verification or SPF records. 
Correlate with other security events or indicators of compromise to determine if the detection is part of a larger attack. 
Investigate the source and destination IP addresses associated with the DNS TXT records to identify any suspicious or malicious activity. 
Review any associated network traffic or system logs for additional context or evidence of compromise.","Legitimate use of DNS TXT records for non-malicious purposes, such as TXT records used for domain verification or SPF records.","record_type=""TXT"" answer IN (""*IEX*"", ""*Invoke-Expression*"", ""*cmd.exe*"")"
"Wannacry Killswitch Domain","Mike Wade","Detects wannacry killswitch domain dns queries","attack.command_and_control, attack.t1071.001","dns","Not classified","Not classified","Check DNS logs for queries to the following domains 
ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.testing 
ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.test 
ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com 
ayylmaotjhsstasdfasdfasdfasdfasdfasdfasdf.com 
iuqssfsodp9ifjaposdfjhgosurijfaewrwergwea.com 
If any of these domains are found in the DNS logs, further investigation is required to determine if the queries are malicious or legitimate.","Legitimate testing of security tools or systems that may involve querying the killswitch domain for research purposes.","query IN (""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.testing"", ""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.test"", ""ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com"", ""ayylmaotjhsstasdfasdfasdfasdfasdfasdfasdf.com"", ""iuqssfsodp9ifjaposdfjhgosurijfaewrwergwea.com"")"
"Equation Group C2 Communication","Florian Roth (Nextron Systems)","Detects communication to C2 servers mentioned in the operational notes of the ShadowBroker leak of EquationGroup C2 tools","attack.command_and_control, attack.g0020, attack.t1041","firewall","Not classified","Not classified","Review the firewall logs for matched events. 
Correlate the events with other security data, such as IDS/IPS alerts and endpoint logs, to determine if this is part of a broader attack. 
If the traffic is deemed legitimate, consider creating exceptions or tuning the rule to reduce false positives.","In some cases, legitimate traffic may match this rule. Verify the context and cross-reference with other security data to reduce false positives.","dst_ip IN (""69.42.98.86"", ""89.185.234.145"") OR src_ip IN (""69.42.98.86"", ""89.185.234.145"")"
"APT40 Dropbox Tool User Agent","Thomas Patzke","Detects suspicious user agent string of APT40 Dropbox tool","attack.command_and_control, attack.t1071.001, attack.exfiltration, attack.t1567.002","proxy","Not classified","Not classified","Check proxy logs for user agents matching the APT40 Dropbox tool user agent string. 
Look for connections to the api.dropbox.com host in the proxy logs. 
Analyze the source IP address and URI of the requests in the proxy logs to identify any suspicious activity.","Old browsers","""c-useragent""=""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36"" ""cs-host""=""api.dropbox.com"""
"BabyShark Agent Pattern","Florian Roth (Nextron Systems)","Detects Baby Shark C2 Framework communication patterns","attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Inspect proxy logs for requests containing momyshark?key= in the URI field.","Unknown","""c-uri""=""*momyshark?key=*"""
"Chafer Malware URL Pattern","Florian Roth (Nextron Systems)","Detects HTTP requests used by Chafer malware","attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Inspect proxy logs for HTTP requests containing /asp.asp?ui= in the URI field. 
Look for any suspicious or malicious User-Agent strings in the c-useragent field. 
Cross-reference the ClientIP with known malicious IP addresses or indicators of compromise (IOCs).","Legitimate use of /asp.asp?ui=","""c-uri""=""*/asp.asp?ui=*"""
"CobaltStrike Malleable Amazon Browsing Traffic Profile","Markus Neis","Detects Malleable Amazon Profile","attack.defense_evasion, attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Check the proxy logs for GET requests to www.amazon.com with a user agent string similar to Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv11.0) like Gecko and a URI starting with /s/ref=nb_sb_noss_1/ followed by any characters and ending with /field-keywords=books. 
Check the proxy logs for POST requests to www.amazon.com with a user agent string similar to Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv11.0) like Gecko and a URI starting with /N4215/adj/amzn.us.sr.aps.","Legitimate browsing traffic to Amazon with similar user agents and URIs","(""c-useragent""=""Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"" ""cs-method""=""GET"" ""c-uri""=""/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books"" ""cs-host""=""www.amazon.com"" ""cs-cookie""=""*=csm-hit=s-24KU11BB82RZSYGJ3BDK|1419899012996"") OR (""c-useragent""=""Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"" ""cs-method""=""POST"" ""c-uri""=""/N4215/adj/amzn.us.sr.aps"" ""cs-host""=""www.amazon.com"")"
"CobaltStrike Malformed UAs in Malleable Profiles","Florian Roth (Nextron Systems)","Detects different malformed user agents used in Malleable Profiles used with Cobalt Strike","attack.defense_evasion, attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Inspect proxy logs for user agent strings that match the provided examples in the selection1 and selection2 sections of the rule. 
Check if the user agent strings are associated with any suspicious or unauthorized activities. 
Look for any correlation with other indicators of compromise (IOCs) or known malicious behavior. 
Analyze the network traffic associated with the detected user agent strings to identify any malicious communication or command and control (C2) activity. 
Cross-reference the detected user agent strings with threat intelligence sources to determine if they are associated with known Cobalt Strike activity. 
If possible, investigate the source IP addresses and destinations associated with the user agent strings to identify potential compromised systems or malicious infrastructure.","Legitimate user agents that may have similar patterns to the detected malformed user agents","""c-useragent"" IN (""Mozilla/4.0 (compatible; MSIE 6.0;Windows NT 5.1)"", ""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E )"", ""Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 5.2) Java/1.5.0_08"") OR ""c-useragent""=""*; MANM; MANM)"""
"CobaltStrike Malleable (OCSP) Profile","Markus Neis","Detects Malleable (OCSP) Profile with Typo (OSCP) in URL","attack.defense_evasion, attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Inspect proxy logs for requests containing /oscp/ in the URI and ocsp.verisign.com in the cs-host field. 
Verify if the requests are related to legitimate use of the OCSP protocol for certificate validation. 
Check if the requests are originating from trusted sources or known systems within the network. 
Cross-reference the requests with other security events or indicators of compromise to identify any malicious activity.","Legitimate use of OCSP protocol for certificate validation","""c-uri""=""*/oscp/*"" ""cs-host""=""ocsp.verisign.com"""
"CobaltStrike Malleable OneDrive Browsing Traffic Profile","Markus Neis","Detects Malleable OneDrive Profile","attack.defense_evasion, attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Inspect the proxy logs for GET requests to onedrive.live.com with a URI ending in ?manifest=wac 
Verify if the request is legitimate by checking the user and device context, and comparing with known good traffic 
Look for any suspicious or anomalous behavior associated with the detected traffic, such as large file transfers or unusual access patterns","Legitimate OneDrive traffic with the same characteristics as the detection rule","""cs-method""=""GET"" ""c-uri""=""*?manifest=wac"" ""cs-host""=""onedrive.live.com"" NOT (""c-uri""=""http*"" ""c-uri""=""*://onedrive.live.com/*"")"
"Windows WebDAV User Agent","Florian Roth (Nextron Systems)","Detects WebDav DownloadCradle","attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Check proxy logs for requests with a User-Agent starting with Microsoft-WebDAV-MiniRedir/ and the HTTP method GET. 
Look for any suspicious or unauthorized WebDAV activity originating from the client IP address. 
Verify if the detected User-Agent and HTTP method are commonly used by legitimate WebDAV clients.","Administrative scripts that download files from the Internet 
Administrative scripts that retrieve certain website contents 
Legitimate WebDAV administration","""c-useragent""=""Microsoft-WebDAV-MiniRedir/*"" ""cs-method""=""GET"""
"Empire UserAgent URI Combo","Florian Roth (Nextron Systems)","Detects user agent and URI paths used by empire agents","attack.defense_evasion, attack.command_and_control, attack.t1071.001","proxy","Not classified","Not classified","Check the logs from the proxy server for requests with the specified user agent and URI paths. 
Look for POST requests with the user agent Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv11.0) like Gecko. 
Check if the URI paths /admin/get.php, /news.php, or /login/process.php are accessed. 
Verify if the requests are legitimate or if they indicate potential Empire agent activity. 
Cross-reference the IP address of the requests with known Empire C2 server IP addresses.","Valid requests with this exact user agent to server scripts of the defined names","""c-useragent""=""Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"" ""cs-uri"" IN (""/admin/get.php"", ""/news.php"", ""/login/process.php"") ""cs-method""=""POST"""
"Potential OWASSRF Exploitation Attempt - Proxy","Nasreddine Bencherchali (Nextron Systems)","Detects exploitation attempt of the OWASSRF variant targeting exchange servers It uses the OWA endpoint to access the powershell backend endpoint","attack.initial_access, attack.t1190","proxy","Not classified","Not classified","Not available","Not available","""cs-method""=""POST"" ""sc-status""=200 ""c-uri""=""*/owa/*"" ""c-uri""=""*/powershell*"" ""c-uri"" IN (""*@*"", ""*%40*"") NOT (""c-useragent"" IN (""ClientInfo"", ""Microsoft WinRM Client"", ""Exchange BackEnd Probes""))"
"OWASSRF Exploitation Attempt Using Public POC - Proxy","Nasreddine Bencherchali (Nextron Systems)","Detects exploitation attempt of the OWASSRF variant targeting exchange servers using publicly available POC. It uses the OWA endpoint to access the powershell backend endpoint","attack.initial_access, attack.t1190","proxy","Not classified","Not classified","Not available","Not available","""c-useragent""=""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.54 Safari/537.36"" ""cs-method""=""POST"" ""sc-status""=200 ""c-uri""=""*/owa/mastermailbox*"" ""c-uri""=""*/powershell*"""
"iOS Implant URL Pattern","Florian Roth (Nextron Systems)","Detects URL pattern used by iOS Implant","attack.execution, attack.t1203, attack.collection, attack.t1005, attack.t1119, attack.credential_access, attack.t1528, attack.t1552.001","proxy","Not classified","Not classified","Review proxy logs for requests containing /list/suc?name= in the URI field 
Analyze the associated ClientIP, c-useragent, and other relevant fields to identify any suspicious activity 
Cross-reference with other logs such as authentication logs or endpoint logs to gather additional context 
If the request is determined to be a false positive, add the source IP or user agent to the known_false_positives list","Legitimate use of /list/suc?name= in web applications","""c-uri""=""*/list/suc?name=*"""
"Java Class Proxy Download","Andreas Hunkeler (@Karneades)","Detects Java class download in proxy logs, e.g. used in Log4shell exploitation attacks against Log4j.","attack.initial_access","proxy","Not classified","Not classified","Review proxy logs for requests with URIs ending in .class 
Look for any suspicious or unexpected Java class downloads 
Check the source and destination IP addresses for any anomalies 
Analyze the user agent string to identify any suspicious or malicious activity 
Cross-reference with other security events or alerts to identify any related indicators of compromise 
If possible, compare the downloaded Java class with known good copies from trusted sources 
Consult with the system or application owners to determine if the download is expected or unauthorized","Legitimate Java class downloads from trusted sources","""c-uri""=""*.class"""
"PwnDrp Access","Florian Roth (Nextron Systems)","Detects downloads from PwnDrp web servers developed for red team testing and most likely also used for criminal activity","attack.command_and_control, attack.t1071.001, attack.t1102.001, attack.t1102.003","proxy","Not classified","Not classified","Investigate the following log sources for evidence of PwnDrp access 
Proxy logs Look for requests containing /pwndrop/ in the URI field. 
Web server logs Check for corresponding requests to the PwnDrp web servers. 
Endpoint logs Look for any suspicious activity related to PwnDrp, such as unusual user agent strings or connections to known PwnDrp IP addresses. 
Network traffic logs Analyze network traffic for connections to PwnDrp servers or any suspicious communication patterns.","Legitimate use of PwnDrp web servers for authorized red team testing or research purposes.","""c-uri""=""*/pwndrop/*"""
"Raw Paste Service Access","Florian Roth (Nextron Systems)","Detects direct access to raw pastes in different paste services often used by malware in their second stages to download malicious code in encrypted or encoded form","attack.command_and_control, attack.t1071.001, attack.t1102.001, attack.t1102.003, attack.defense_evasion","proxy","Not classified","Not classified","Investigate the source IP address to determine if it belongs to a known developer or if it is associated with suspicious activity. 
Analyze the user agent string to identify any suspicious or malicious behavior. 
Review the accessed URI to determine if it matches the patterns associated with raw paste services. 
Cross-reference the detection with other security events or indicators of compromise to identify any related malicious activity.","User activity (e.g. developer that shared and copied code snippets and used the raw link instead of just copy & paste)","""c-uri"" IN (""*.paste.ee/r/*"", ""*.pastebin.com/raw/*"", ""*.hastebin.com/raw/*"", ""*.ghostbin.co/paste/*/raw/*"", ""*pastetext.net/*"", ""*pastebin.pl/*"", ""*paste.ee/*"")"
"Flash Player Update from Suspicious Location","Florian Roth (Nextron Systems)","Detects a flashplayer update from an unofficial location","attack.initial_access, attack.t1189, attack.execution, attack.t1204.002, attack.defense_evasion, attack.t1036.005","proxy","Not classified","Not classified","Check the source IP address of the request and verify if it belongs to an official Adobe server. 
Inspect the user agent string in the logs to determine if it matches the expected format for a legitimate flash player update. 
Review the destination URL in the logs to ensure it is pointing to an official Adobe domain. 
Cross-reference the request with other security logs, such as firewall or DNS logs, to identify any suspicious activity associated with the source IP or domain. 
Compare the timestamp of the request with known legitimate flash player update releases from Adobe to identify any discrepancies.","Legitimate flash player updates from official Adobe sources","""c-uri"" IN (""*/flash_install.php*"", ""*/install_flash_player.exe"") NOT ""cs-host""=""*.adobe.com"""
"Turla ComRAT","Florian Roth (Nextron Systems)","Detects Turla ComRAT patterns","attack.defense_evasion, attack.command_and_control, attack.t1071.001, attack.g0010","proxy","Not classified","Not classified","Review proxy logs for requests containing /index/index.php?h= in the URI field.","Legitimate use of /index/index.php?h= in web applications","""c-uri""=""*/index/index.php?h=*"""
